State,Latitude,Longitude,1945,1949,1954,1959,1964,1969,1974,1978,1982,1987,1992,1997,2002,2007,2012,2017 
  Maine ,45.709097,-68.8590201," 1,490 "," 1,407 "," 1,274 "," 1,186 "," 1,002 ", 735 , 653 , 689 , 629 , 577 , 591 , 466 ,478,  462 ,  390 ,  415 
  New Hampshire,43.4849133,-71.6553992, 509 , 451 , 385 , 360 , 256 , 198 , 174 , 198 , 166 , 147 , 143 , 112 ,108,  103 ,  93 ,  101 
  Vermont,44.5990718,-72.5002608," 1,281 "," 1,156 "," 1,072 ", 988 , 883 , 867 , 812 , 862 , 784 , 655 , 585 , 484 ,589,  487 ,  412 ,  435 
  Massachusetts,42.3788774,-72.032366, 703 , 624 , 561 , 467 , 369 , 288 , 264 , 310 , 282 , 271 , 230 , 211 ,196,  169 ,  148 ,  164 
  Rhode Island,41.7962409,-71.5992372, 81 , 80 , 69 , 53 , 46 , 32 , 29 , 36 , 37 , 29 , 26 , 30 ,25,  22 ,  25 ,  19 
  Connecticut,41.6500201,-72.7342163, 530 , 498 , 467 , 358 , 299 , 252 , 234 , 250 , 235 , 207 , 188 , 166 ,152,  136 ,  123 ,  111 
  New York,40.7127281,-74.0060152," 8,367 "," 8,485 "," 7,864 "," 6,978 "," 6,626 "," 6,276 "," 6,085 "," 6,181 "," 5,900 "," 5,254 "," 4,568 "," 4,112 ","4,494","  4,140 ","  4,247 ","  4,125 "
  New Jersey,40.0757384,-74.4041622," 1,136 "," 1,090 "," 1,096 "," 1,006 ", 858 , 713 , 714 , 750 , 725 , 652 , 609 , 634 ,552,  479 ,  449 ,  453 
  Pennsylvania,40.9699889,-77.7278831," 8,001 "," 7,945 "," 7,399 "," 6,916 "," 6,314 "," 6,065 "," 5,930 "," 5,816 "," 5,790 "," 5,552 "," 5,161 "," 5,181 ","5,125","  5,264 ","  4,517 ","  4,755 "
  Delaware,38.6920451,-75.4013315, 564 , 535 , 519 , 574 , 533 , 533 , 546 , 536 , 559 , 549 , 488 , 451 ,454,  423 ,  438 ,  427 
  Maryland,39.5162401,-76.9382069," 2,364 "," 2,286 "," 2,124 "," 2,087 "," 1,987 "," 1,894 "," 1,893 "," 1,873 "," 1,847 "," 1,814 "," 1,748 "," 1,555 ","1,527","  1,279 ","  1,377 ","  1,429 "
  Michigan,43.6211955,-84.6824346," 11,210 "," 11,044 "," 10,836 "," 10,470 "," 9,867 "," 8,682 "," 8,345 "," 8,665 "," 8,814 "," 8,381 "," 8,623 "," 8,304 ","8,060","  8,014 ","  7,766 ","  7,422 "
  Wisconsin,44.4308975,-89.6884637," 12,682 "," 12,905 "," 12,766 "," 12,502 "," 12,367 "," 12,270 "," 11,866 "," 12,239 "," 12,044 "," 10,590 "," 10,385 "," 9,561 ","10,779","  10,203 ","  10,071 ","  9,646 "
  Minnesota  ,45.9896587,-94.6113288," 22,292 "," 22,461 "," 22,295 "," 22,523 "," 22,736 "," 23,380 "," 23,906 "," 24,243 "," 24,183 "," 23,422 "," 23,511 "," 22,839 ","23,264","  22,342 ","  22,452 ","  21,845 "
  Ohio,40.2253569,-82.6881395," 13,302 "," 13,378 "," 13,054 "," 12,427 "," 12,035 "," 12,584 "," 12,705 "," 12,558 "," 12,246 "," 12,373 "," 11,885 "," 12,026 ","11,530","  10,923 ","  10,829 ","  10,819 "
  Indiana,40.3270127,-86.1746933," 13,540 "," 13,827 "," 13,877 "," 14,198 "," 13,755 "," 14,071 "," 14,079 "," 14,030 "," 13,958 "," 13,641 "," 13,404 "," 13,689 ","13,027","  12,747 ","  12,710 ","  12,684 "
  Illinois,40.0796606,-89.4337288," 23,583 "," 23,944 "," 24,050 "," 23,864 "," 24,165 "," 25,466 "," 25,010 "," 25,493 "," 25,245 "," 25,197 "," 25,585 "," 24,925 ","24,531","  24,056 ","  23,934 ","  23,832 "
