Beach_Name,Nearest_Town,County,Lake,Latitude,Longitude,EPA_Bch_ID,Num_Samp_2016,Num_ADays_2016,Num_Exc_2016,Num_Close_2016,Perc_Exc_2016,Perc_Close_2016,Num_Samp_2017,Num_ADays_2017,Num_Exc_2017,Num_Close_2017,Perc_Exc_2017,Perc_Close_2017,Num_Samp_2018,Num_ADays_2018,Num_Exc_2018,Num_Close_2018,Perc_Exc_2018,Perc_Close_2018,Num_Samp_2019,Num_ADays_2019,Num_Exc_2019,Num_Close_2019,Perc_Exc_2019,Perc_Close_2019,Num_Samp_2020,Num_ADays_2020,Num_Exc_2020,Num_Close_2020,Perc_Exc_2020,Perc_Close_2020,Num_Samp_2021,Num_ADays_2021,Num_Exc_2021,Num_Close_2021,Perc_Exc_2021,Perc_Close_2021,Num_Samp_2022,Num_ADays_2022,Num_Exc_2022,Num_Close_2022,Perc_Exc_2022,Perc_Close_2022,Num_Samp_2023,Num_ADays_2023,Num_Exc_2023,Num_Close_2023,Perc_Exc_2023,Perc_Close_2023,Num_Samp_2024,Num_ADays_2024,Num_Exc_2024,Num_Close_2024,Perc_Exc_2024,Perc_Close_2024
Anclam Park,Baileys Harbor,Door,Lake Michigan,45.058648,-87.124176,WI501955,27,0,0,0,0,0,28,0,0,0,0,0,29,1,1,1,3.4,3.4,29,0,0,0,0,0,43,1,5,1,8.1,1.6,27,1,1,0,3.7,0,28,4,2,0,7.1,0,41,1,1,0,2.4,0,43,1,1,0,2.3,0
Bailey Harbor Ridges Park,Baileys Harbor,Door,Lake Michigan,45.069692,-87.118089,WI914897,55,3,3,1,5.5,1.8,55,0,0,0,0,0,57,1,1,0,1.8,0,57,0,0,0,0,0,60,1,1,0,1.7,0,52,0,0,0,0,0,53,6,4,1,7.5,1.9,54,1,1,0,1.9,0,54,2,2,0,3.7,0
Clay Banks #2 (Hornspier Rd),Claybanks,Door,Lake Michigan,44.759302,-87.327711,WI198915,29,4,4,2,13.8,6.9,28,1,1,0,3.6,0,28,0,0,0,0,0,28,0,0,0,0,0,28,0,2,0,7.1,0,26,0,0,0,0,0,26,0,0,0,0,0,30,3,3,2,10,6.7,28,2,2,1,7.1,3.6
Egg Harbor,Egg Harbor,Door,Lake Michigan,45.045629,-87.285905,WI421809,54,0,1,0,1.9,0,56,5,5,1,8.9,1.8,56,4,4,1,7.1,1.8,56,2,2,0,3.5,0,61,3,3,0,4.9,0,54,3,3,0,5.6,0,54,3,3,2,5.6,3.7,55,3,3,0,5.5,0,56,4,4,0,7.1,0
Ellison Bay Town Park,Ellison Bay,Door,Lake Michigan,45.252883,-87.077576,WI797561,56,1,1,0,1.8,0,56,1,1,1,1.8,1.8,57,0,0,0,0,0,57,0,0,0,0,0,61,0,0,0,0,0,52,0,0,0,0,0,52,0,0,0,0,0,54,1,1,0,1.9,0,56,1,1,0,1.8,0
Ephraim Village,Ephraim,Door,Lake Michigan,45.150127,-87.175032,WI062070,57,7,7,1,12.3,1.8,59,8,8,2,13.6,3.4,58,8,8,1,13.8,1.7,58,8,7,1,12.5,1.8,62,5,5,1,8.1,1.6,55,4,4,1,7.3,1.8,54,18,10,4,18.5,7.4,56,7,7,2,12.5,3.6,59,7,7,2,11.9,3.4
Europe Bay #1,Northport,Door,Lake Michigan,45.26463,-86.983843,WI890519,29,2,2,1,6.9,3.4,28,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,27,0,0,0,0,0,28,0,0,0,0,0,30,1,1,0,3.3,0,42,1,1,0,2.4,0
Europe Bay #3,Northport,Door,Lake Michigan,45.256022,-86.984301,WI902641,28,2,2,1,7.1,3.6,28,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,27,0,0,0,0,0,28,0,0,0,0,0,31,2,2,0,6.5,0,42,0,0,0,0,0
Fish Creek,Fish Creek,Door,Lake Michigan,45.127616,-87.243212,WI805969,57,14,14,6,24.6,10.5,57,7,7,1,12.3,1.8,58,10,10,0,17.2,0,58,13,13,5,61.9,23.8,65,12,12,3,18.5,4.6,56,15,13,1,23.2,1.8,56,16,12,2,21.4,3.6,56,11,11,5,19.6,8.9,58,8,8,1,13.8,1.7
Frank E. Murphy Park,Egg Harbor,Door,Lake Michigan,45.015403,-87.332249,WI641986,54,4,4,1,7.4,1.9,56,4,4,0,7.1,0,56,5,5,1,8.9,1.8,56,5,5,3,9.1,5.5,61,5,5,0,8.2,0,53,6,6,1,11.3,1.9,55,10,8,2,14.5,3.6,55,5,5,4,9.1,7.3,54,0,0,0,0,0
